x-axis,4,MATH
second,Volt,Volt
-12.25000E-06,-187.50000000E-03,+3.28125000000E+00
-12.20000E-06,-187.50000000E-03,+3.28125000000E+00
-12.15000E-06,-187.50000000E-03,+3.28125000000E+00
-12.10000E-06,-187.50000000E-03,+3.28125000000E+00
-12.05000E-06,-187.50000000E-03,+3.28125000000E+00
-12.00000E-06,-187.50000000E-03,+3.28125000000E+00
-11.95000E-06,-187.50000000E-03,+3.28125000000E+00
-11.90000E-06,-187.50000000E-03,+3.28125000000E+00
-11.85000E-06,-187.50000000E-03,+3.28125000000E+00
-11.80000E-06,-187.50000000E-03,+3.28125000000E+00
-11.75000E-06,-187.50000000E-03,+3.28125000000E+00
-11.70000E-06,-187.50000000E-03,+3.28125000000E+00
-11.65000E-06,-31.25000000E-03,+3.28125000000E+00
-11.60000E-06,-343.75000000E-03,+3.28125000000E+00
-11.55000E-06,-187.50000000E-03,+3.28125000000E+00
-11.50000E-06,-187.50000000E-03,+3.28125000000E+00
-11.45000E-06,-187.50000000E-03,+3.28125000000E+00
-11.40000E-06,-187.50000000E-03,+3.28125000000E+00
-11.35000E-06,-187.50000000E-03,+3.28125000000E+00
-11.30000E-06,-187.50000000E-03,+3.28125000000E+00
-11.25000E-06,-31.25000000E-03,+3.28125000000E+00
-11.20000E-06,-187.50000000E-03,+3.28125000000E+00
-11.15000E-06,-187.50000000E-03,+3.28125000000E+00
-11.10000E-06,-187.50000000E-03,+3.28125000000E+00
-11.05000E-06,-187.50000000E-03,+3.28125000000E+00
-11.00000E-06,-187.50000000E-03,+3.28125000000E+00
-10.95000E-06,-187.50000000E-03,+3.28125000000E+00
-10.90000E-06,-187.50000000E-03,+3.28125000000E+00
-10.85000E-06,-31.25000000E-03,+3.28125000000E+00
-10.80000E-06,-187.50000000E-03,+3.12500000000E+00
-10.75000E-06,-187.50000000E-03,+3.28125000000E+00
-10.70000E-06,-343.75000000E-03,+3.28125000000E+00
-10.65000E-06,-31.25000000E-03,+3.28125000000E+00
-10.60000E-06,-187.50000000E-03,+3.28125000000E+00
-10.55000E-06,-187.50000000E-03,+3.28125000000E+00
-10.50000E-06,-187.50000000E-03,+3.28125000000E+00
-10.45000E-06,-31.25000000E-03,+3.28125000000E+00
-10.40000E-06,-343.75000000E-03,+3.28125000000E+00
-10.35000E-06,-187.50000000E-03,+3.28125000000E+00
-10.30000E-06,-187.50000000E-03,+3.28125000000E+00
-10.25000E-06,-31.25000000E-03,+3.28125000000E+00
-10.20000E-06,-187.50000000E-03,+3.28125000000E+00
-10.15000E-06,-31.25000000E-03,+3.28125000000E+00
-10.10000E-06,-187.50000000E-03,+3.28125000000E+00
-10.05000E-06,-187.50000000E-03,+3.28125000000E+00
-10.00000E-06,-187.50000000E-03,+3.28125000000E+00
-9.95000E-06,-187.50000000E-03,+3.28125000000E+00
-9.90000E-06,-187.50000000E-03,+3.28125000000E+00
-9.85000E-06,-31.25000000E-03,+3.28125000000E+00
-9.80000E-06,-187.50000000E-03,+3.28125000000E+00
-9.75000E-06,-187.50000000E-03,+3.28125000000E+00
-9.70000E-06,-187.50000000E-03,+3.28125000000E+00
-9.65000E-06,-187.50000000E-03,+3.28125000000E+00
-9.60000E-06,-187.50000000E-03,+3.12500000000E+00
-9.55000E-06,-31.25000000E-03,+3.28125000000E+00
-9.50000E-06,-187.50000000E-03,+3.28125000000E+00
-9.45000E-06,-31.25000000E-03,+3.28125000000E+00
-9.40000E-06,-187.50000000E-03,+3.28125000000E+00
-9.35000E-06,-187.50000000E-03,+3.28125000000E+00
-9.30000E-06,-187.50000000E-03,+3.28125000000E+00
-9.25000E-06,-31.25000000E-03,+3.28125000000E+00
-9.20000E-06,-343.75000000E-03,+3.12500000000E+00
-9.15000E-06,-187.50000000E-03,+3.28125000000E+00
-9.10000E-06,-187.50000000E-03,+3.28125000000E+00
-9.05000E-06,-31.25000000E-03,+3.12500000000E+00
-9.00000E-06,-187.50000000E-03,+3.28125000000E+00
-8.95000E-06,-187.50000000E-03,+3.28125000000E+00
-8.90000E-06,-187.50000000E-03,+3.12500000000E+00
-8.85000E-06,-31.25000000E-03,+3.12500000000E+00
-8.80000E-06,-187.50000000E-03,+3.12500000000E+00
-8.75000E-06,-187.50000000E-03,+3.12500000000E+00
-8.70000E-06,-187.50000000E-03,+3.12500000000E+00
-8.65000E-06,-187.50000000E-03,+3.12500000000E+00
-8.60000E-06,-343.75000000E-03,+3.28125000000E+00
-8.55000E-06,-187.50000000E-03,+3.12500000000E+00
-8.50000E-06,-187.50000000E-03,+3.28125000000E+00
-8.45000E-06,-31.25000000E-03,+3.28125000000E+00
-8.40000E-06,-187.50000000E-03,+3.12500000000E+00
-8.35000E-06,+3.71875000000E+00,+3.28125000000E+00
-8.30000E-06,+4.81250000000E+00,+3.12500000000E+00
-8.25000E-06,+4.81250000000E+00,+3.28125000000E+00
-8.20000E-06,+4.81250000000E+00,+3.28125000000E+00
-8.15000E-06,+4.81250000000E+00,+3.28125000000E+00
-8.10000E-06,+4.81250000000E+00,+3.28125000000E+00
-8.05000E-06,+4.81250000000E+00,+3.12500000000E+00
-8.00000E-06,+4.96875000000E+00,+3.12500000000E+00
-7.95000E-06,+4.81250000000E+00,+3.12500000000E+00
-7.90000E-06,+4.81250000000E+00,+3.12500000000E+00
-7.85000E-06,+4.96875000000E+00,+3.28125000000E+00
-7.80000E-06,+4.96875000000E+00,+3.12500000000E+00
-7.75000E-06,+4.81250000000E+00,+3.28125000000E+00
-7.70000E-06,+4.81250000000E+00,+3.12500000000E+00
-7.65000E-06,+4.81250000000E+00,+2.65625000000E+00
-7.60000E-06,+4.96875000000E+00,+2.03125000000E+00
-7.55000E-06,+4.81250000000E+00,+1.09375000000E+00
-7.50000E-06,+4.81250000000E+00,+468.75000000E-03
-7.45000E-06,+4.81250000000E+00,+312.50000000E-03
-7.40000E-06,+4.81250000000E+00,+312.50000000E-03
-7.35000E-06,+4.81250000000E+00,+781.25000000E-03
-7.30000E-06,+4.81250000000E+00,+1.25000000000E+00
-7.25000E-06,+4.81250000000E+00,+625.00000000E-03
-7.20000E-06,+4.81250000000E+00,+468.75000000E-03
-7.15000E-06,+4.81250000000E+00,+312.50000000E-03
-7.10000E-06,+4.81250000000E+00,+312.50000000E-03
-7.05000E-06,+4.81250000000E+00,+312.50000000E-03
-7.00000E-06,+4.81250000000E+00,+312.50000000E-03
-6.95000E-06,+4.81250000000E+00,+468.75000000E-03
-6.90000E-06,+4.81250000000E+00,+312.50000000E-03
-6.85000E-06,+4.81250000000E+00,+468.75000000E-03
-6.80000E-06,+4.81250000000E+00,+156.25000000E-03
-6.75000E-06,+4.81250000000E+00,+312.50000000E-03
-6.70000E-06,+4.81250000000E+00,+468.75000000E-03
-6.65000E-06,+4.81250000000E+00,+156.25000000E-03
-6.60000E-06,+4.81250000000E+00,+312.50000000E-03
-6.55000E-06,+4.81250000000E+00,+312.50000000E-03
-6.50000E-06,+4.65625000000E+00,+312.50000000E-03
-6.45000E-06,+4.81250000000E+00,+312.50000000E-03
-6.40000E-06,+4.96875000000E+00,+468.75000000E-03
-6.35000E-06,+4.81250000000E+00,+312.50000000E-03
-6.30000E-06,+4.81250000000E+00,+312.50000000E-03
-6.25000E-06,+4.81250000000E+00,+468.75000000E-03
-6.20000E-06,+4.81250000000E+00,+468.75000000E-03
-6.15000E-06,+4.81250000000E+00,+468.75000000E-03
-6.10000E-06,+4.81250000000E+00,+312.50000000E-03
-6.05000E-06,+4.81250000000E+00,+312.50000000E-03
-6.00000E-06,+4.81250000000E+00,+312.50000000E-03
-5.95000E-06,+4.81250000000E+00,+312.50000000E-03
-5.90000E-06,+4.81250000000E+00,+468.75000000E-03
-5.85000E-06,+4.65625000000E+00,+312.50000000E-03
-5.80000E-06,+4.81250000000E+00,+312.50000000E-03
-5.75000E-06,+4.81250000000E+00,+312.50000000E-03
-5.70000E-06,+4.81250000000E+00,+312.50000000E-03
-5.65000E-06,+4.81250000000E+00,+312.50000000E-03
-5.60000E-06,+4.81250000000E+00,+312.50000000E-03
-5.55000E-06,+4.81250000000E+00,+468.75000000E-03
-5.50000E-06,+4.81250000000E+00,+468.75000000E-03
-5.45000E-06,+4.81250000000E+00,+312.50000000E-03
-5.40000E-06,+4.81250000000E+00,+312.50000000E-03
-5.35000E-06,+4.81250000000E+00,+312.50000000E-03
-5.30000E-06,+4.65625000000E+00,+312.50000000E-03
-5.25000E-06,+4.81250000000E+00,+312.50000000E-03
-5.20000E-06,+4.81250000000E+00,+312.50000000E-03
-5.15000E-06,+4.81250000000E+00,+312.50000000E-03
-5.10000E-06,+4.81250000000E+00,+312.50000000E-03
-5.05000E-06,+4.81250000000E+00,+312.50000000E-03
-5.00000E-06,+4.81250000000E+00,+312.50000000E-03
-4.95000E-06,+4.81250000000E+00,+468.75000000E-03
-4.90000E-06,+4.81250000000E+00,+312.50000000E-03
-4.85000E-06,+4.81250000000E+00,+468.75000000E-03
-4.80000E-06,+4.81250000000E+00,+312.50000000E-03
-4.75000E-06,+4.81250000000E+00,+312.50000000E-03
-4.70000E-06,+4.81250000000E+00,+312.50000000E-03
-4.65000E-06,+4.65625000000E+00,+312.50000000E-03
-4.60000E-06,+4.81250000000E+00,+312.50000000E-03
-4.55000E-06,+4.65625000000E+00,+312.50000000E-03
-4.50000E-06,+4.65625000000E+00,+312.50000000E-03
-4.45000E-06,+4.81250000000E+00,+312.50000000E-03
-4.40000E-06,+4.81250000000E+00,+312.50000000E-03
-4.35000E-06,+4.81250000000E+00,+468.75000000E-03
-4.30000E-06,+4.81250000000E+00,+468.75000000E-03
-4.25000E-06,+4.81250000000E+00,+468.75000000E-03
-4.20000E-06,+4.81250000000E+00,+312.50000000E-03
-4.15000E-06,+4.81250000000E+00,+312.50000000E-03
-4.10000E-06,+4.81250000000E+00,+468.75000000E-03
-4.05000E-06,+4.81250000000E+00,+312.50000000E-03
-4.00000E-06,+4.81250000000E+00,+312.50000000E-03
-3.95000E-06,+4.81250000000E+00,+312.50000000E-03
-3.90000E-06,+4.96875000000E+00,+312.50000000E-03
-3.85000E-06,+4.81250000000E+00,+468.75000000E-03
-3.80000E-06,+4.81250000000E+00,+312.50000000E-03
-3.75000E-06,+4.65625000000E+00,+468.75000000E-03
-3.70000E-06,+4.81250000000E+00,+312.50000000E-03
-3.65000E-06,+4.65625000000E+00,+312.50000000E-03
-3.60000E-06,+4.50000000000E+00,+312.50000000E-03
-3.55000E-06,+4.81250000000E+00,+468.75000000E-03
-3.50000E-06,+4.81250000000E+00,+468.75000000E-03
-3.45000E-06,+4.81250000000E+00,+468.75000000E-03
-3.40000E-06,+4.81250000000E+00,+312.50000000E-03
-3.35000E-06,+4.81250000000E+00,+312.50000000E-03
-3.30000E-06,+4.81250000000E+00,+468.75000000E-03
-3.25000E-06,+4.81250000000E+00,+312.50000000E-03
-3.20000E-06,+4.81250000000E+00,+312.50000000E-03
-3.15000E-06,+4.81250000000E+00,+312.50000000E-03
-3.10000E-06,+4.81250000000E+00,+312.50000000E-03
-3.05000E-06,+4.65625000000E+00,+468.75000000E-03
-3.00000E-06,+4.81250000000E+00,+468.75000000E-03
-2.95000E-06,+4.65625000000E+00,+312.50000000E-03
-2.90000E-06,+4.81250000000E+00,+312.50000000E-03
-2.85000E-06,+4.65625000000E+00,+312.50000000E-03
-2.80000E-06,+4.65625000000E+00,+468.75000000E-03
-2.75000E-06,+4.81250000000E+00,+312.50000000E-03
-2.70000E-06,+4.81250000000E+00,+312.50000000E-03
-2.65000E-06,+4.81250000000E+00,+312.50000000E-03
-2.60000E-06,+4.81250000000E+00,+468.75000000E-03
-2.55000E-06,+4.81250000000E+00,+312.50000000E-03
-2.50000E-06,+4.81250000000E+00,+468.75000000E-03
-2.45000E-06,+4.81250000000E+00,+468.75000000E-03
-2.40000E-06,+4.81250000000E+00,+312.50000000E-03
-2.35000E-06,+4.96875000000E+00,+312.50000000E-03
-2.30000E-06,+4.81250000000E+00,+468.75000000E-03
-2.25000E-06,+4.81250000000E+00,+468.75000000E-03
-2.20000E-06,+4.65625000000E+00,+156.25000000E-03
-2.15000E-06,+4.81250000000E+00,+156.25000000E-03
-2.10000E-06,+4.81250000000E+00,+312.50000000E-03
-2.05000E-06,+4.81250000000E+00,+156.25000000E-03
-2.00000E-06,+4.81250000000E+00,+156.25000000E-03
-1.95000E-06,+4.81250000000E+00,+156.25000000E-03
-1.90000E-06,+4.81250000000E+00,+156.25000000E-03
-1.85000E-06,+4.81250000000E+00,+0.0E+00
-1.80000E-06,+4.81250000000E+00,+156.25000000E-03
-1.75000E-06,+4.81250000000E+00,+156.25000000E-03
-1.70000E-06,+4.96875000000E+00,+312.50000000E-03
-1.65000E-06,+4.81250000000E+00,+312.50000000E-03
-1.60000E-06,+4.81250000000E+00,+468.75000000E-03
-1.55000E-06,+4.81250000000E+00,+312.50000000E-03
-1.50000E-06,+4.81250000000E+00,+625.00000000E-03
-1.45000E-06,+4.65625000000E+00,+1.09375000000E+00
-1.40000E-06,+4.81250000000E+00,+1.56250000000E+00
-1.35000E-06,+4.81250000000E+00,+1.87500000000E+00
-1.30000E-06,+4.81250000000E+00,+2.03125000000E+00
-1.25000E-06,+4.81250000000E+00,+2.18750000000E+00
-1.20000E-06,+4.81250000000E+00,+2.34375000000E+00
-1.15000E-06,+4.81250000000E+00,+2.34375000000E+00
-1.10000E-06,+4.81250000000E+00,+2.18750000000E+00
-1.05000E-06,+4.81250000000E+00,+2.03125000000E+00
-1.00000E-06,+4.81250000000E+00,+1.71875000000E+00
-950.00E-09,+4.65625000000E+00,+1.40625000000E+00
-900.00E-09,+4.65625000000E+00,+937.50000000E-03
-850.00E-09,+4.81250000000E+00,+625.00000000E-03
-800.00E-09,+4.81250000000E+00,+468.75000000E-03
-750.00E-09,+4.81250000000E+00,+468.75000000E-03
-700.00E-09,+4.81250000000E+00,+468.75000000E-03
-650.00E-09,+4.65625000000E+00,+312.50000000E-03
-600.00E-09,+4.81250000000E+00,+468.75000000E-03
-550.00E-09,+4.81250000000E+00,+468.75000000E-03
-500.00E-09,+4.81250000000E+00,+468.75000000E-03
-450.00E-09,+4.81250000000E+00,+312.50000000E-03
-400.00E-09,+4.81250000000E+00,+312.50000000E-03
-350.00E-09,+4.81250000000E+00,+468.75000000E-03
-300.00E-09,+4.81250000000E+00,+312.50000000E-03
-250.00E-09,+4.65625000000E+00,+468.75000000E-03
-200.00E-09,+4.81250000000E+00,+312.50000000E-03
-150.00E-09,+4.81250000000E+00,+468.75000000E-03
-100.00E-09,+4.81250000000E+00,+468.75000000E-03
-50.00E-09,+4.65625000000E+00,+468.75000000E-03
-0.0E+00,+1.21875000000E+00,+312.50000000E-03
+50.00E-09,-187.50000000E-03,+312.50000000E-03
+100.00E-09,-187.50000000E-03,+312.50000000E-03
+150.00E-09,-31.25000000E-03,+312.50000000E-03
+200.00E-09,-187.50000000E-03,+468.75000000E-03
+250.00E-09,-31.25000000E-03,+312.50000000E-03
+300.00E-09,-187.50000000E-03,+156.25000000E-03
+350.00E-09,-187.50000000E-03,+156.25000000E-03
+400.00E-09,-187.50000000E-03,+156.25000000E-03
+450.00E-09,-187.50000000E-03,+156.25000000E-03
+500.00E-09,-187.50000000E-03,+0.0E+00
+550.00E-09,-187.50000000E-03,+0.0E+00
+600.00E-09,-187.50000000E-03,+156.25000000E-03
+650.00E-09,-31.25000000E-03,+156.25000000E-03
+700.00E-09,-187.50000000E-03,+156.25000000E-03
+750.00E-09,-187.50000000E-03,+156.25000000E-03
+800.00E-09,-31.25000000E-03,+312.50000000E-03
+850.00E-09,-187.50000000E-03,+312.50000000E-03
+900.00E-09,-187.50000000E-03,+312.50000000E-03
+950.00E-09,-31.25000000E-03,+468.75000000E-03
+1.00000E-06,-187.50000000E-03,+312.50000000E-03
+1.05000E-06,-31.25000000E-03,+625.00000000E-03
+1.10000E-06,-31.25000000E-03,+781.25000000E-03
+1.15000E-06,-187.50000000E-03,+1.09375000000E+00
+1.20000E-06,-187.50000000E-03,+1.25000000000E+00
+1.25000E-06,-187.50000000E-03,+1.25000000000E+00
+1.30000E-06,-187.50000000E-03,+1.25000000000E+00
+1.35000E-06,-31.25000000E-03,+1.09375000000E+00
+1.40000E-06,-187.50000000E-03,+781.25000000E-03
+1.45000E-06,-187.50000000E-03,+625.00000000E-03
+1.50000E-06,-187.50000000E-03,+468.75000000E-03
+1.55000E-06,-187.50000000E-03,+312.50000000E-03
+1.60000E-06,-187.50000000E-03,+468.75000000E-03
+1.65000E-06,-31.25000000E-03,+468.75000000E-03
+1.70000E-06,-187.50000000E-03,+468.75000000E-03
+1.75000E-06,-187.50000000E-03,+312.50000000E-03
+1.80000E-06,-343.75000000E-03,+468.75000000E-03
+1.85000E-06,-31.25000000E-03,+468.75000000E-03
+1.90000E-06,-187.50000000E-03,+312.50000000E-03
+1.95000E-06,-187.50000000E-03,+312.50000000E-03
+2.00000E-06,-343.75000000E-03,+312.50000000E-03
+2.05000E-06,-187.50000000E-03,+468.75000000E-03
+2.10000E-06,-187.50000000E-03,+468.75000000E-03
+2.15000E-06,-31.25000000E-03,+468.75000000E-03
+2.20000E-06,-343.75000000E-03,-156.25000000E-03
+2.25000E-06,-31.25000000E-03,-468.75000000E-03
+2.30000E-06,-187.50000000E-03,+1.09375000000E+00
+2.35000E-06,-187.50000000E-03,+2.96875000000E+00
+2.40000E-06,-187.50000000E-03,+3.43750000000E+00
+2.45000E-06,-187.50000000E-03,+3.43750000000E+00
+2.50000E-06,-187.50000000E-03,+3.43750000000E+00
+2.55000E-06,-31.25000000E-03,+3.43750000000E+00
+2.60000E-06,-187.50000000E-03,+3.28125000000E+00
+2.65000E-06,-187.50000000E-03,+3.43750000000E+00
+2.70000E-06,-187.50000000E-03,+3.43750000000E+00
+2.75000E-06,-31.25000000E-03,+3.43750000000E+00
+2.80000E-06,-187.50000000E-03,+3.43750000000E+00
+2.85000E-06,-187.50000000E-03,+3.43750000000E+00
+2.90000E-06,-187.50000000E-03,+3.43750000000E+00
+2.95000E-06,-31.25000000E-03,+3.28125000000E+00
+3.00000E-06,-187.50000000E-03,+3.28125000000E+00
+3.05000E-06,-187.50000000E-03,+3.28125000000E+00
+3.10000E-06,-187.50000000E-03,+3.28125000000E+00
+3.15000E-06,-187.50000000E-03,+3.28125000000E+00
+3.20000E-06,-187.50000000E-03,+3.28125000000E+00
+3.25000E-06,+125.00000000E-03,+3.28125000000E+00
+3.30000E-06,-187.50000000E-03,+3.28125000000E+00
+3.35000E-06,-187.50000000E-03,+3.28125000000E+00
+3.40000E-06,-187.50000000E-03,+3.28125000000E+00
+3.45000E-06,-31.25000000E-03,+3.28125000000E+00
+3.50000E-06,-31.25000000E-03,+3.28125000000E+00
+3.55000E-06,-31.25000000E-03,+3.28125000000E+00
+3.60000E-06,-187.50000000E-03,+3.28125000000E+00
+3.65000E-06,-187.50000000E-03,+3.28125000000E+00
+3.70000E-06,-187.50000000E-03,+3.28125000000E+00
+3.75000E-06,-31.25000000E-03,+3.28125000000E+00
+3.80000E-06,-343.75000000E-03,+3.28125000000E+00
+3.85000E-06,-187.50000000E-03,+3.28125000000E+00
+3.90000E-06,-187.50000000E-03,+3.28125000000E+00
+3.95000E-06,-187.50000000E-03,+3.28125000000E+00
+4.00000E-06,-187.50000000E-03,+3.28125000000E+00
+4.05000E-06,-31.25000000E-03,+3.28125000000E+00
+4.10000E-06,-187.50000000E-03,+3.28125000000E+00
+4.15000E-06,-31.25000000E-03,+3.28125000000E+00
+4.20000E-06,-187.50000000E-03,+3.28125000000E+00
+4.25000E-06,-187.50000000E-03,+3.28125000000E+00
+4.30000E-06,-187.50000000E-03,+3.28125000000E+00
+4.35000E-06,-31.25000000E-03,+3.28125000000E+00
+4.40000E-06,-187.50000000E-03,+3.28125000000E+00
+4.45000E-06,-31.25000000E-03,+3.28125000000E+00
+4.50000E-06,-187.50000000E-03,+3.28125000000E+00
